2025-08-23T07:16:52.618Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68a93776d44a88a72b03eefc","email":"dishang@gmail.com","role":"collegeadmin"}
2025-08-24T10:06:44.900Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68a9d900056d22bf9db22669","email":"ramesh@gmail.com","role":"collegeadmin"}
2025-08-24T10:09:47.106Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68a9d9b9056d22bf9db226a9","email":"rahul@gmail.com","role":"professor"}
2025-08-24T10:13:20.176Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68a9d9b9056d22bf9db226a9","email":"rahul@gmail.com","role":"professor"}
2025-08-24T11:15:34.156Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"collegeadmin"}
2025-08-24T11:15:43.039Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"collegeadmin"}
2025-08-24T11:23:17.115Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"collegeadmin","department":"CSPIT123","branch":""}
2025-08-24T11:24:06.793Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"collegeadmin","department":"CSPIT","branch":""}
2025-08-24T11:24:15.994Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"professor","department":"CSPIT","branch":"Computer Engineering"}
2025-08-24T11:25:30.514Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aaf44c7dca9ec4bd956382","email":"ramesh@gmail.com","role":"collegeadmin","department":"CSPIT","branch":"Computer Engineering"}
2025-08-24T11:54:27.266Z | Admin: 68aaf77d900796668d4956dd | Action: APPROVE_USER | Details: {"userId":"68aaf9a0934bf889e12bd792"}
2025-08-24T12:04:20.658Z | Admin: 68aaf77d900796668d4956dd | Action: APPROVE_USER | Details: {"userId":"68aafecda299f398c1000198"}
2025-08-24T12:10:13.453Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aafecda299f398c1000198","email":"ramesh@gmail.com","role":"alumni","department":"CSPIT","branch":"Computer Engineering"}
2025-08-24T12:14:32.906Z | Admin: 6881f866568f154147e8b96b | Action: UPDATE_USER | Details: {"userId":"68aafecda299f398c1000198","email":"ramesh@gmail.com","role":"alumni","department":"CSPIT","branch":"Computer Engineering"}
2025-08-24T14:00:41.983Z | Admin: 68ab07f8e4a14da133886a6a | Action: APPROVE_STUDENT | Details: {"studentId":"68ab1af238b841e9365592f2"}
2025-08-24T14:06:54.139Z | Admin: 68aaf77d900796668d4956dd | Action: APPROVE_USER | Details: {"userId":"68ab1c5538b841e93655932a"}
2025-08-24T14:07:01.725Z | Admin: 68aaf77d900796668d4956dd | Action: APPROVE_STUDENT | Details: {"studentId":"68ab1bc238b841e93655931c"}
